cases,15.8 in x 8.3 in x 18.3 in,,AUTO_SKIP
cases,15.8 inches,,AUTO_SKIP
cases,14 pounds,,AUTO_SKIP
cases,1,,AUTO_SKIP
cases,water cooling,,AUTO_SKIP
cases,0,,AUTO_SKIP
cases,12 pounds,,AUTO_SKIP
cases,12 lb,,AUTO_SKIP
cases,april 20 2025,,AUTO_SKIP
cases,built-in fan,,AUTO_SKIP
cases,cn,,AUTO_SKIP
cases,raidmax tech,,AUTO_SKIP
cases,white,,AUTO_SKIP
cases,99.99,,AUTO_SKIP
cases,"currently viewing,,AUTO_SKIP raidmax i801 panoramic tempered glass mid tower atx pc case with 3 pre-installed argb fans white combo with 240mm aio liquid cooler modern gaming chassis with wide interior and efficient cooling,,,AUTO_SKIP add to cart",1,",AUTO_SKIP"
cases,8.3 inches,,AUTO_SKIP
cpus,amd,AMD,AUTO
cpus,intel,Intel,AUTO
cpus,socket am5,,AUTO_SKIP
cpus,desktop,,AUTO_SKIP
cpus,amd radeon graphics,,AUTO_SKIP
cpus,65w,,AUTO_SKIP
cpus,64-bit,,AUTO_SKIP
cpus,8-core,,AUTO_SKIP
cpus,2,,AUTO_SKIP
cpus,cooling device not included - processor only,,AUTO_SKIP
cpus,5.0,,AUTO_SKIP
cpus,windows 11,,AUTO_SKIP
cpus,120w,,AUTO_SKIP
cpus,socket am4,,AUTO_SKIP
cpus,yes,,AUTO_SKIP
cpus,2200 mhz,,AUTO_SKIP
cpus,6-core,,AUTO_SKIP
cpus,32mb,,AUTO_SKIP
cpus,none integrated graphics,,AUTO_SKIP
cpus,senytech global,,AUTO_SKIP
cpus,16-threads,,AUTO_SKIP
cpus,amd a620  amd b650  amd b650e  amd b850  amd x670  amd x670e  amd x870  amd x870e,,AUTO_SKIP
cpus,7nm,,AUTO_SKIP
cpus,512kb,,AUTO_SKIP
cpus,16-core,,AUTO_SKIP
cpus,supported,,AUTO_SKIP
cpus,3.8 ghz,,AUTO_SKIP
cpus,granite ridge,,AUTO_SKIP
cpus,5.0  4.0  3.0,,AUTO_SKIP
cpus,discrete graphics card required,,AUTO_SKIP
cpus,170w,,AUTO_SKIP
cpus,128mb,,AUTO_SKIP
cpus,192 gb,,AUTO_SKIP
cpus,zen 4 - tsmc 5nm finfet,,AUTO_SKIP
cpus,16mb,,AUTO_SKIP
cpus,4.3 ghz,,AUTO_SKIP
cpus,newegg,,AUTO_SKIP
cpus,vermeer zen 3,,AUTO_SKIP
cpus,ddr5 5200,,AUTO_SKIP
cpus,ddr4 3200,,AUTO_SKIP
cpus,granite ridge zen 5,,AUTO_SKIP
cpus,zen 51,,AUTO_SKIP
cpus,8mb,,AUTO_SKIP
cpus,4.2 ghz,,AUTO_SKIP
cpus,4.0  3.0,,AUTO_SKIP
cpus,not included,,AUTO_SKIP
cpus,128 gb,,AUTO_SKIP
cpus,12-threads,,AUTO_SKIP
cpus,amd expo technology amd ryzen technologies,,AUTO_SKIP
cpus,precision boost overdrive3,,AUTO_SKIP
gpus,gigabyte,Gigabyte,AUTO
gpus,songryvga,,AUTO_SKIP
gpus,msi,MSI,AUTO
gpus,asrock,ASRock,AUTO
gpus,asus,ASUS,AUTO
gpus,yeston,,AUTO_SKIP
gpus,srhonyra,,AUTO_SKIP
gpus,zer lon,,AUTO_SKIP
gpus,xfx,XFX,AUTO
gpus,powercolor,PowerColor,AUTO
gpus,sapphire tech,Sapphire,AUTO
gpus,yes,,AUTO_SKIP
gpus,16gb,,AUTO_SKIP
gpus,atx,,AUTO_SKIP
gpus,256-bit,,AUTO_SKIP
gpus,directx 12 ultimate,,AUTO_SKIP
gpus,no,,AUTO_SKIP
gpus,opengl 4.6,,AUTO_SKIP
gpus,7680 x 4320,,AUTO_SKIP
gpus,gddr7,,AUTO_SKIP
gpus,gddr6,,AUTO_SKIP
gpus,pci express 5.0 x16,,AUTO_SKIP
gpus,nvidia,,AUTO_SKIP
gpus,4,,AUTO_SKIP
gpus,directx 12,,AUTO_SKIP
gpus,pci express 5.0,,AUTO_SKIP
gpus,amd,AMD,AUTO
gpus,newegg,,AUTO_SKIP
gpus,pci express 3.0 x16,,AUTO_SKIP
gpus,1 x hdmi 2.1b,,AUTO_SKIP
gpus,128-bit,,AUTO_SKIP
gpus,triple fans,,AUTO_SKIP
gpus,nvidia geforce rtx 50 series,,AUTO_SKIP
gpus,192-bit,,AUTO_SKIP
gpus,gddr5,,AUTO_SKIP
gpus,gaming,,AUTO_SKIP
gpus,amd radeon rx 9000 series,,AUTO_SKIP
gpus,4gb,,AUTO_SKIP
gpus,1 x 16-pin,,AUTO_SKIP
gpus,black,,AUTO_SKIP
gpus,low profile ready,,AUTO_SKIP
gpus,radeon rx 9070 xt,,AUTO_SKIP
gpus,3 x displayport 2.1b,,AUTO_SKIP
gpus,double fans,,AUTO_SKIP
gpus,3 x displayport 2.1a,,AUTO_SKIP
gpus,rdna 4,,AUTO_SKIP
gpus,gddr3,,AUTO_SKIP
gpus,geforce rtx 5080,,AUTO_SKIP
gpus,gtx 1660 super,,AUTO_SKIP
gpus,19201080,,AUTO_SKIP
hdds,avolusion,,AUTO_SKIP
hdds,seagate,,AUTO_SKIP
hdds,western digital,,AUTO_SKIP
hdds,maxdigitaldata,,AUTO_SKIP
hdds,synology inc.,,AUTO_SKIP
hdds,7200 rpm,,AUTO_SKIP
hdds,usb 3.0,,AUTO_SKIP
hdds,6tb,,AUTO_SKIP
hdds,119.99,,AUTO_SKIP
hdds,"currently viewing,,AUTO_SKIP avolusion pro-t5 series 6tb usb 3.0 external gaming hard drive  ps5 game console  white - 2 year warranty,,,AUTO_SKIP add to cart",1,",AUTO_SKIP"
hdds,goharddrive,,AUTO_SKIP
hdds,june 10 2024,,AUTO_SKIP
hdds,september 26 2023,,AUTO_SKIP
headsets,hyperx,HyperX,AUTO
headsets,logitech,Logitech,AUTO
headsets,steelseries,SteelSeries,AUTO
headsets,hp,,AUTO_SKIP
headsets,turtle beachvoyetra,,AUTO_SKIP
headsets,black,,AUTO_SKIP
headsets,circumaural,,AUTO_SKIP
headsets,usb,,AUTO_SKIP
headsets,-,,AUTO_SKIP
headsets,jabra enterprise products,,AUTO_SKIP
headsets,corsair,Corsair,AUTO
headsets,plug type a usa canada mexico japan,,AUTO_SKIP
headsets,fiio,,AUTO_SKIP
headsets,no,,AUTO_SKIP
headsets,fractal design,Fractal Design,AUTO
headsets,20hz-20khz,,AUTO_SKIP
headsets,wired,,AUTO_SKIP
headsets,10hz-21khz,,AUTO_SKIP
headsets,newegg,,AUTO_SKIP
headsets,stereo,,AUTO_SKIP
headsets,2.4 ghz lightspeed,,AUTO_SKIP
headsets,rf,,AUTO_SKIP
headsets,razer,Razer,AUTO
headsets,20hz-22khz,,AUTO_SKIP
headsets,3.93ft headset cable 4.26ft usb dongle cable,,AUTO_SKIP
headsets,soft memory foam earpads,,AUTO_SKIP
